Name,Country,Location,Height,Notes
Eiffel Tower in  Pojana Maggiore,Italy,"Pojana Maggiore, Vicenza",38.0 m (125 ft),"Built in 1999, by a local laser cut company"
Bamboo Eiffel Tower,Indonesia,Tasikmalaya Regency,36 m (118 ft) (approximately),"Bamboo structure, in honor of the coronation of Queen Wilhelmina; designed by A. H. van Bebber"
Eiffel Tower,Ukraine,Kharkiv,35 m (115 ft),Associated with a French-themed shopping mall.
Eyffela[8][9],France,"Chambretaud, Chanverrie",33 m (108 ft)[9],Built to put Chambretaud on the map and to attract tourists from nearby Puy du Fou.[8]  Material: iron; weight: 32 tons.[9]
Golden Sands Eiffel Tower,Bulgaria,Varna,32.4 m (106 ft),Built in the resort town as a tourist attraction
Malayer Eiffel Tower,Iran,"Malayer, Hamadan",32 m (105 ft) (approximately),Malayer mini world with 138 historical monuments (under construction)
Paris Center Eiffel Tower,Israel,Netivot,32 m (105 ft)[10][11],Situated at Paris (Shriki) Center in the southern city of Netivot.
Eiffel Tower,Spain,"Parque Europa, Torrejón de Ardoz, Madrid",30.4 m (100 ft)[12],Completed in 2010; part of an $18m replica theme park.[13]
Kish Eiffel Tower,Iran,Kish Island,30 m (98 ft),Completed in September 2018 in Pardis 1 Shopping Center.
Eiffel Tower,Belarus,"Paryž, Vitebsk Oblast","30 m (98 ft)[14]
(approximately)",Has a cross at its top. Designed by ksyondz (Catholic minister) Yuosaz Bulka. Has a sculpture of Mary Magdalene and 2 sculptures of angels nearby.[14]
Eiffel Tower,Uzbekistan,Samarkand,30 m (98 ft) (approximately),Sogdian Park.
Filiatra Eiffel Tower,Greece,"Filiatra, Messinia",26 m (85 ft),"At the entrance of the village,[15][16] donated in 1960 by Charalambos Fournarakis[17]"
Eiffel Tower,United States,"Epcot theme park, Lake Buena Vista, Florida",23 m (75 ft),"Part of the France Pavilion at Epcot, Walt Disney World; opened in 1982"
Monte Amiata Summit Cross,Italy,Amiata,22 m (72 ft),Summit cross
"Paris, Texas Eiffel Tower",United States,"Paris, Texas",20 m (66 ft),Tower constructed in 1993; the hat was added in 1998
"Eiffel Tower (Paris, Tennessee)",United States,"Paris, Tennessee",18.25 m (60 ft) (approximately),Dedicated on 29 January 1993
Kyiv's Eiffel Tower,Ukraine,Kyiv,16 m (52 ft),"Built as a part of residential complex ""French quartal"" in 2015"
Krasnoyarsk Eiffel Tower,Russia,Krasnoyarsk,14.8 m (49 ft),
La Fayette Village,United States,"Raleigh, North Carolina",6.0m (20ft),built as an homage to the french aesthetic of the shopping center
Milwaukee School of Engineering Eiffel Tower,United States,"Milwaukee, Wisconsin",13 m (43 ft),Temporary model designed and erected by Milwaukee School of Engineering students for the annual Bastille Days festival in Cathedral Square Park for four days every July
Europe Eiffel Tower,Belgium,Brussels,12.96 m (42.5 ft),Mini-Europe
Kabardinka Eiffel Tower,Russia,Kabardinka,12 m (39 ft),Built in 2014 in the resort town as a tourist attraction[19]
Kota Eiffel Tower,India,"Kota, Rajasthan",12 m (39 ft),"Feature of Seven Wonders Park, Kota"
Eiffel Tower,Japan,Tochigi Prefecture,12 m (39 ft),At Tobu World Square. The park also has a replica of the Tokyo Tower.
Brisbane Eiffel Tower,Australia,"Brisbane, Queensland",12 m (39 ft) (approximately),"Landmark among the sidewalk tables of La Dolce Vita café on Park Rd, Milton which offers Italian cuisine."
Minimundus,Austria,Klagenfurt,12 m (39 ft),Part of a miniature park[20]
Phú sinh cát tường Eiffel Tower,Vietnam,Long An province,11 m (36 ft),"Part of a miniature park, 7 Wonders of the World"
Meccano model,United States,"Atlanta, Georgia",11 m (36 ft)[21],SciTrek technology museum. No longer exists; museum closed in 2004.
Bauru Eiffel Tower,Brazil,Bauru,10 m (33 ft) (approximately),Built in 1978 to commemorate the 25th anniversary of the foundation of the Bauru School of Law at the Instituição Toledo de Ensino.[22]
Taastrup Eiffel Tower,Denmark,Taastrup,10 m (33 ft),Built to celebrate the 2022 Tour de France starting in Copenhagen.[23]
Montmartre Eiffel Tower,Canada,"Montmartre, Saskatchewan",8.5 m (28 ft),"Erected in 2009. Settled by French immigrants, the community calls itself ""Paris of the Prairies"".[24]"
Valday Eiffel Tower,Russia,"Valday, Novgorod Oblast",8 m (26 ft),Built in 2018[25]
Dreyfus Eiffel Tower,United States,"Austin, Texas",7.5 m (25 ft),At the Dreyfus Antique Shop
"Paris, Michigan Eiffel Tower",United States,"Paris, Michigan",7 m (23 ft) (approximately),Situated in a park
Santos Dumont Eiffel Tower Replica,Brazil,"Santos Dumont, Minas Gerais",7 m (23 ft),Built in 2001 to celebrate the centennial anniversary of the flight of Alberto Santos-Dumont around the Eiffel Tower. Santos Dumont is now the name of his birthplace in Brazil. It was formerly known as Palmira.
Eiffel Tower,Russia,Zvenigovo,3.5 m (11 ft),Erected in the center of the town's main street.
Uman Eiffel Tower,Ukraine,Uman,3.25 m (10.7 ft),Situated in a central park
Eiffel Tower of Nikitin's Gymnasium,Russia,Voronezh,3.24 m (10.6 ft)[26],Situated in the park of Nikitin's Gymnasium
Eiffel Tower,Azerbaijan,Baku,3 m (10 ft) (approximately),"Sahil Shopping Center, at Parfums de France shop."
